DATE,sp500,daily_return
8/2/2016,2157.03,-0.006361593
8/3/2016,2163.79,0.003133939
8/4/2016,2164.25,0.00021259
8/5/2016,2182.87,0.008603442
8/8/2016,2180.89,-0.000907063
8/9/2016,2181.74,0.000389749
8/10/2016,2175.49,-0.002864686
8/11/2016,2185.79,0.004734566
8/12/2016,2184.05,-0.000796051
8/15/2016,2190.15,0.002792976
8/16/2016,2178.15,-0.005479077
8/17/2016,2182.22,0.001868558
8/18/2016,2187.02,0.002199595
8/19/2016,2183.87,-0.001440316
8/22/2016,2182.64,-0.00056322
8/23/2016,2186.9,0.001951765
8/24/2016,2175.44,-0.005240294
8/25/2016,2172.47,-0.001365241
8/26/2016,2169.04,-0.001578848
8/29/2016,2180.38,0.005228119
8/30/2016,2176.12,-0.001953788
8/31/2016,2170.95,-0.002375788
9/1/2016,2170.86,-4.15E-05
9/2/2016,2179.98,0.0042011
9/7/2016,2186.16,-0.000146354
9/8/2016,2181.3,-0.002223076
9/9/2016,2127.81,-0.024522074
9/12/2016,2159.04,0.014677062
9/13/2016,2127.02,-0.014830665
9/14/2016,2125.77,-0.000587677
9/15/2016,2147.26,0.010109278
9/16/2016,2139.16,-0.003772249
9/19/2016,2139.12,-1.87E-05
9/20/2016,2139.76,0.000299188
9/21/2016,2163.12,0.010917112
9/22/2016,2177.18,0.006499871
9/23/2016,2164.69,-0.005736779
9/26/2016,2146.1,-0.008587835
9/27/2016,2159.93,0.006444248
9/28/2016,2171.37,0.005296468
